count,x,y,radius,density
50,325.04,189.73,19.1,0
51,323.78,179.84,19.31,0
51,311.91,152.27,19.47,0
53,308.87,156.49,21.31,0
52,298.47,152.95,23.04,0
45,306.44,148.91,22,0
48,297.5,155.11,22.36,0
47,298.77,153.17,22.14,0
47,296.59,151.77,20.95,0
43,290.15,132.77,18.65,0
43,299.65,143.91,17.94,0
43,292.9,155.2,19.34,0
45,289.52,164.78,20.71,0
41,272.81,166.03,20.59,0
41,272.32,179.62,20.25,0.3
48,257.47,173.47,20.02,0
46,233.23,187.54,19.05,0
45,225.39,195.57,18.63,0
43,240.18,178.74,18.87,0
105,340.34,200.74,36.37,0.33
109,343.64,205.68,40.12,0.3
161,353.82,200.27,44.55,0
170,354.81,185.84,51.75,0.17
247,366.57,188.03,64.15,0
241,356.64,182.31,87.4,0.06
241,379.44,179.93,111.15,0.26
224,379.78,178.76,110.67,0.27
224,380.83,183.93,109.69,0.28
242,385.46,186.54,106.99,0.07
219,431.85,213.71,83.42,0.01
191,426.7,257.43,55.52,0
187,433.32,262.56,57.91,0
183,434.92,264.85,57.47,0
185,435.19,265.21,57.44,0
111,378.45,207.75,24.66,0
84,373.84,217.13,19.95,0
52,336.84,177.5,16.73,0
54,339.3,163.45,18.03,0
53,358.75,158.1,18.87,0
70,374.86,168.62,21.1,0
69,358.15,155.37,20.25,0
65,365.9,166.08,19.18,0
64,366.56,176.2,20.05,0
68,360.34,183.33,22.45,0
75,349.45,198.14,22.25,0
69,341.4,206.95,21.14,0
67,344.14,182.37,20.42,0
68,352.8,210.47,19.52,0
55,330.38,200.87,18.25,0
38,309.34,202.12,15.87,0
43,302.77,188.77,17,0
42,297.72,181.48,16.91,0
48,294.48,182.09,18.03,0
57,304.05,188.49,18.81,0
50,300.94,191.52,17.29,0
45,290.7,163.69,18.49,0.16
48,289.5,167.31,18.17,0.06
50,281.62,176.38,17.89,0
37,260.48,154,16.46,0
35,263.37,148.57,17.44,0
38,274.91,143.6,16.55,0
39,281.28,148.72,16.4,0
46,297,146.14,19.08,0
46,293.42,156.37,19,0
51,297.14,164.41,19.87,0
51,289.58,185.23,20.4,0.25
49,298.54,175.98,21.59,0.6
54,286.39,160.67,21.68,0
58,282.25,157.98,21.52,0
57,277.56,195.75,21.68,0
56,285.89,180.54,22.14,0
59,300.41,184.42,22.09,0.5
60,316.83,181.02,21.05,0
58,313.86,190.14,19.03,0
56,314.52,191.3,18.97,0
55,315.18,206.1,19.16,0
56,307.12,213.94,18.52,0
47,316.39,209.72,17.64,0
43,337.29,212.76,17.61,0
46,334.06,203.87,17.35,0
40,316.62,228.57,16.46,0
39,325.03,203.39,16.67,0
45,342.96,187.66,17.12,0
49,338.77,203.7,20.07,0
49,341.78,202.75,20.25,0
52,325.68,216.61,20.52,0
50,331.08,228.26,19.08,0
51,316.25,230.03,18.57,0
52,309.81,235.96,18.73,0
49,301.16,247.39,18.25,0
54,294.14,244.67,19.29,0
52,304.5,251.85,19.13,0.21
50,323.51,253.41,18.25,0
50,316.35,251.95,18.71,0.21
51,302.3,256.73,18.08,0
48,312.71,259.36,19.26,0.05
47,306.24,246.68,18.63,0.05
41,285.8,235.64,18.65,0
39,281,248.85,17.35,0
42,266.71,257.53,16.76,0
42,262.59,251.58,16.19,0
43,246.17,255.43,15.49,0
49,246.2,255.77,15.72,0
47,254.13,251.34,17.41,0.23
43,271.08,250.34,18.81,0
44,271.16,258.97,18.63,0
42,248.69,253.5,19.21,0.05
45,246.54,247.76,19.65,0
40,242.26,238.58,19.39,0
45,229.58,222.67,18.03,0
48,256.23,218.6,17.03,0
47,255.67,220.07,18.41,0
44,258.94,213.62,18.33,0
42,272.75,202.75,18.92,0
43,275.39,206.58,18.71,0
38,297.23,204.22,16.16,0
39,291.38,212.98,16.12,0
40,290.07,213.37,15.94,0
37,298.07,198.53,14.73,0
34,303.53,178.62,14.83,0
37,300.84,176.26,14.04,0
32,281.44,157.44,14.56,0
33,294.34,162.78,13.89,0
33,286.26,176.63,15,0
32,263.41,184.6,15.52,0
106,308.61,209.78,23.19,0
109,307.18,216.19,23.52,0
112,313.42,225.33,24.66,0
116,317.24,229.19,25.75,0
114,329.92,244.24,24.96,0.04
82,329.64,240.93,23.13,0.13
80,321.42,246.34,22.05,0.27
81,327.74,247.48,21.07,0
80,326.95,254.35,21,0
75,310.82,246.47,18.49,0.11
64,270.59,253.14,17.29,0
62,275.69,253.57,17.38,0
61,277.81,255.55,17.69,0
55,264.91,253.39,16.7,0
45,257.26,246.4,16.55,0
